timestamp,simulation_time,engine_id,operating_mode,throttle,rpm,crank_angle,mean_torque,instant_torque,load_torque,friction_torque,net_torque,cylinder_1_torque,cylinder_2_torque,cylinder_3_torque,cylinder_4_torque,cht,egt,oil_temperature,oil_pressure,oil_pressure_psi,fuel_flow,fuel_flow_lph,fuel_pressure,vibration,gt_degradation_type,gt_target_component,gt_active_severity,gt_current_health,gt_is_degraded
0.0,0.0,AEROTWIN-4-001,IDLE,0.15,914.1454940058414,54.0,22.48604081632653,38.74303548511851,12.142530466828767,1.8796736572557982,24.720831361033948,-0.20428280949283495,-0.20428280949283495,-1.2395119840377247,40.39111308814191,24.722681140884863,592.688114418722,25.117693973273912,378.9736178135968,55.073927937952256,0.0009672136335670347,4.836068167835174,322.42705098312484,0.36203334436299556,CYLINDER,CYLINDER_1,0.0,1.0,False
0.01,0.01,AEROTWIN-4-001,IDLE,0.15,922.7342201074079,108.70819965152094,22.55239483412846,31.435573613089375,12.463112880384825,1.904325217052866,17.068135515651683,-0.20488022056752914,-0.2048856272715821,-1.455452768360075,33.30079222928856,24.54563920955056,587.8674106138686,24.90730166392562,379.60564203769786,55.172531793782625,0.0009699065099855296,4.849532549927648,322.42705098312484,0.2212985065062015,CYLINDER,CYLINDER_1,5.277777777777778e-05,0.9999472222222222,False
0.02,0.02,AEROTWIN-4-001,IDLE,0.15,914.722536559778,163.90536536764398,22.597921279221435,2.4323592876710545,12.686891863313278,1.921345525032951,-12.175878100675174,-0.20528839397471882,-0.20529922921181612,-0.4268551007687947,3.269802011626384,24.879759861433545,586.7102683574528,25.268340653575248,380.7359525508331,55.24046235409093,0.0009717711404820966,4.858855702410483,322.42705098312484,0.4471937526177017,CYLINDER,CYLINDER_1,0.00010555555555555555,0.9998944444444444,False
0.03,0.03,AEROTWIN-4-001,IDLE,0.15,918.0833677907642,218.7537178702498,22.565468071117536,28.262780008724793,12.527051311447382,1.9092037656116347,13.826524931665777,-0.962379586920452,-0.20500439596025918,29.635168387565763,-0.20500439596025918,24.209281417054644,582.5793785883858,25.06970774689862,379.68583459002656,55.19201516955606,0.0009704405249974265,4.852202624987133,322.42705098312484,0.15606308535548022,CYLINDER,CYLINDER_1,0.00015833333333333332,0.9998416666666666,False
0.04,0.04,AEROTWIN-4-001,IDLE,0.15,927.8214167841282,273.998171134814,22.602311687935664,39.519260216041516,12.708638958019613,1.922991546498157,24.887629711523747,-1.5361331619016378,-0.2053391155143578,41.466071608971866,-0.2053391155143578,24.272492660201344,579.9767939449973,25.098648462653205,381.22432921663716,55.24702547132874,0.0009719516981733117,4.859758490866558,322.42705098312484,0.37537741483064363,CYLINDER,CYLINDER_1,0.0002111111111111111,0.9997888888888888,False
0.05,0.05,AEROTWIN-4-001,IDLE,0.15,929.692870075897,329.9556024716556,22.668242585747823,7.5046523210673675,13.03878797083021,1.947809437251134,-7.481945087013977,-0.7732020588378528,-0.2059380893020276,8.689730558509275,-0.2059380893020276,23.755399320385386,578.1002189576459,24.502052817863376,381.51441559303026,55.34584536234568,0.0009746789416184672,4.873394708092336,322.42705098312484,0.35967316292535834,CYLINDER,CYLINDER_1,0.00026388888888888886,0.9997361111111112,False
0.06,0.06,AEROTWIN-4-001,IDLE,0.15,934.9077504916613,385.69869187047993,22.64847418967607,16.814260421939117,12.93909052478686,1.9403484577226855,1.9348214394295724,17.894963473686527,-0.6691860598513822,-0.20575849594801338,-0.20575849594801338,24.064689188733052,575.2361406537773,24.925455110787677,379.6917549039645,55.316163845576305,0.0009738580937608037,4.869290468804019,322.42705098312484,0.1764456513320521,CYLINDER,CYLINDER_1,0.00031666666666666665,0.9996833333333334,False
0.07,0.07,AEROTWIN-4-001,IDLE,0.15,947.8120745584756,441.4972098205996,22.653590585929507,43.7044382943725,12.964835478096495,1.942277857495459,28.797324958780546,45.64262004588302,-1.5265717960012268,-0.2058049777546448,-0.2058049777546448,23.810484593305514,573.9363358085932,24.75552667373967,380.8540276434667,55.32384163267386,0.0009740702852464967,4.870351426232484,322.42705098312484,0.44658413230479893,CYLINDER,CYLINDER_1,0.00036944444444444443,0.9996305555555556,False
0.08,0.08,AEROTWIN-4-001,IDLE,0.15,941.5115613292884,498.12071036142174,22.729385803469462,13.396829796435991,13.351040435960757,1.970994487929496,-1.9252051274542614,14.843673650761572,-1.0338567190707175,-0.20649356762743115,-0.20649356762743115,23.36316696752914,571.4975491124766,24.78914769725512,382.9958710453187,55.43793630261707,0.0009772349408310342,4.886174704155171,322.42705098312484,0.23838774203976892,CYLINDER,CYLINDER_1,0.0004222222222222222,0.9995777777777778,False
0.09,0.09,AEROTWIN-4-001,IDLE,0.15,943.5942078080905,554.6890578379938,22.724339415546822,7.407842813572172,13.325044438907765,1.9690746775223158,-7.886276302857909,-0.20639869050360898,8.21331131900152,-0.2064477218375454,-0.3926220930881936,23.109084902256473,569.3094448567214,24.97679046891105,382.7721076561479,55.43031908201882,0.0009770229969944956,4.885114984972478,322.42705098312484,0.3432986170654271,CYLINDER,CYLINDER_1,0.000475,0.999525,False
